key_actor,category,policy_domain,mentions_in_topic,global_entity_mentions,total_docs_spanned,topic_share_percentage
Pennsylvania,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Pentagon,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Philadelphia,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Philippines,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
PolitiFact,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Power Purchase Agreements for",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Príncipe Saudi Arabia",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Pruitt,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Qatar,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
QELRO,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Quebec,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Rhode Island",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Rhodium Group",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Rio,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Rolling Stone",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Russian Federation",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Rwanda,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Samoa,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"San Diego Gas & Electric",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Schwarzenegger,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
SCP-HAT,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Seattle,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Shell,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Singapore,GPE,"Carbon Accounting & Metrics",1,1,1,100.00
Slovakia,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
Software,ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"South Korea",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"South Sudan",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
"Southern California Edison",ORG,"Carbon Accounting & Metrics",1,1,1,100.00
"Soviet Union",GPE,"Carbon Accounting & Metrics",1,1,1,100.00
