category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_url,proponent,protocol,registry,retired,status,clean_category
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2020-04-23 00:00:00+00:00,False,53449,,GS1247 VPA 97 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,GLD5337,https://registry.goldstandard.org/projects?q=gs5337,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,17211,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-07-02 00:00:00+00:00,2019-07-01 00:00:00+00:00,False,56468,,GS1247 VPA 93 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,GLD5331,https://registry.goldstandard.org/projects?q=gs5331,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,38485,unknown,Energy-Efficiency
"[""unknown""]",Malawi,2021-07-06 00:00:00+00:00,2022-05-13 00:00:00+00:00,False,37894,,GS5382 Energy for Sustainable Development - Malawi 1,GLD5383,https://registry.goldstandard.org/projects?q=gs5383,United Purpose Ltd,"[""unknown""]",gold-standard,37892,unknown,Unknown
"[""unknown""]",Malawi,,,False,0,,Water and Energy for Sustainable Development Programme of Activities,GLD5382,https://registry.goldstandard.org/projects?q=gs5382,United Purpose Ltd,"[""unknown""]",gold-standard,0,unknown,Unknown
"[""energy-efficiency""]",Malawi,,,False,0,,GS1247 VPA 105 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,GLD5345,https://registry.goldstandard.org/projects?q=gs5345,QK TS Pvt. Ltd.,"[""gs-tpddtec""]",gold-standard,0,listed,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2023-07-28 00:00:00+00:00,2023-10-03 00:00:00+00:00,False,365063,,M’tetezi Improved cook-stoves Balaka District Malawi,GLD4539,https://registry.goldstandard.org/projects?q=gs4539,EKI Energy Services Limited,"[""gs-tpddtec""]",gold-standard,13979,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2015-12-17 00:00:00+00:00,2016-01-14 00:00:00+00:00,False,78203,,GS1247 VPA 37 Improved Kitchen Regimes - Dowa Boreholes Malawi,GLD3561,https://registry.goldstandard.org/projects?q=gs3561,CO2balance UK ltd,"[""gs-kitchen-cookstoves""]",gold-standard,51639,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2015-11-18 00:00:00+00:00,2016-01-14 00:00:00+00:00,False,68700,,GS1247 VPA 36 Improved Kitchen Regimes - Dowa Boreholes Malawi,GLD3560,https://registry.goldstandard.org/projects?q=gs3560,CO2balance UK ltd,"[""gs-kitchen-cookstoves""]",gold-standard,49815,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2017-07-07 00:00:00+00:00,2017-12-12 00:00:00+00:00,False,69241,,GS1247 VPA 27 Improved Kitchen Regimes - Kasungu Boreholes Malawi,GLD3108,https://registry.goldstandard.org/projects?q=gs3108,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,45547,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2015-12-17 00:00:00+00:00,2016-10-10 00:00:00+00:00,False,78584,,GS1247 VPA 26 Improved Kitchen Regimes - Kasungu Boreholes Malawi,GLD3107,https://registry.goldstandard.org/projects?q=gs3107,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,49330,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2015-11-18 00:00:00+00:00,2016-01-14 00:00:00+00:00,False,77066,,GS1247 VPA 25 Improved Kitchen Regimes - Dowa Boreholes Malawi,GLD3106,https://registry.goldstandard.org/projects?q=gs3106,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,59644,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2017-07-07 00:00:00+00:00,2017-08-09 00:00:00+00:00,False,60807,,GS1247 VPA 24 Improved Kitchen Regimes - Dowa Boreholes Malawi,GLD3105,https://registry.goldstandard.org/projects?q=gs3105,CO2balance UK ltd,"[""gs-tpddtec""]",gold-standard,43936,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-08-14 00:00:00+00:00,2019-02-01 00:00:00+00:00,False,273600,,GS2447 GS1265 African Biomass Energy Conservation PoA Malawi Biomass Conservation (5),GLD2447,https://registry.goldstandard.org/projects?q=gs2447,Hestian Innovation,"[""gs-tpddtec""]",gold-standard,127319,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2019-12-09 00:00:00+00:00,2019-12-19 00:00:00+00:00,False,258551,,GS2446 GS1265  African Biomass Energy Conservation PoA  Malawi Biomass Conservation (4),GLD2446,https://registry.goldstandard.org/projects?q=gs2446,Hestian Innovation,"[""gs-tpddtec""]",gold-standard,165130,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2017-11-07 00:00:00+00:00,2017-11-10 00:00:00+00:00,False,287525,,GS2445  GS1265  African Biomass Energy Conservation PoA  Malawi Biomass Conservation (3),GLD2445,https://registry.goldstandard.org/projects?q=gs2445,Hestian Innovation,"[""gs-tpddtec""]",gold-standard,248498,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2018-05-09 00:00:00+00:00,2018-05-30 00:00:00+00:00,False,307967,,"GS2444 ""GS1265"" African Biomass Energy Conservation PoA Malawi Biomass Conservation (2)",GLD2444,https://registry.goldstandard.org/projects?q=gs2444,Hestian Innovation,"[""gs-tpddtec""]",gold-standard,217967,unknown,Energy-Efficiency
"[""energy-efficiency""]",Malawi,2022-08-30 00:00:00+00:00,2022-09-05 00:00:00+00:00,False,297901,,GS1265 - African Biomass Energy Conservation POA - Malawi Biomass Conservation - Dowa District,GLD1330,https://registry.goldstandard.org/projects?q=gs1330,Hestian Innovation,"[""gs-tpddtec""]",gold-standard,84956,unknown,Energy-Efficiency
